{{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} > {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a, c}, {b}, {d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} > {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b, d}} ~ {{a, d}, {b, c}}
{{a}, {b}, {c}, {d}} ~ {{a}, {b, c}, {d}} ~ {{a, b}, {c}, {d}} ~ {{a, b, c}, {d}} ~ {{a, c}, {b}, {d}} > {{a}, {b}, {c, d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c, d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a}, {b}, {c}, {d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b, d}, {c}} ~ {{a, d}, {b}, {c}} > {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b, c}}
{{a}, {b}, {c, d}} ~ {{a, b}, {c, d}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a}, {b, c}, {d}} ~ {{a, d}, {b, c}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}}
{{a}, {b, c, d}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a}, {b, d}, {c}} ~ {{a, c}, {b, d}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b, c}, {d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a, b, c}, {d}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c, d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
{{a, b, c, d}} > {{a}, {b}, {c}, {d}} ~ {{a}, {b}, {c, d}} ~ {{a}, {b, c}, {d}} ~ {{a}, {b, c, d}} ~ {{a}, {b, d}, {c}} ~ {{a, b}, {c}, {d}} ~ {{a, b}, {c, d}} ~ {{a, b, c}, {d}} ~ {{a, b, d}, {c}} ~ {{a, c}, {b}, {d}} ~ {{a, c}, {b, d}} ~ {{a, c, d}, {b}} ~ {{a, d}, {b}, {c}} ~ {{a, d}, {b, c}}
